# Fix print output for fix myfile
0 0 8.40703319480287
100 0.5 8.41043630238272
200 1 8.53217403655135
300 1.5 8.61254850013227
400 2 8.60865662890805
500 2.5 8.56654472618166
600 3 8.40166823975862
700 3.5 8.19219043668965
800 4 8.0148030102876
900 4.5 8.0491626519906
1000 5 8.15373418431069
1100 5.5 8.14310327732438
1200 6 8.10739518123669
1300 6.5 8.06630737769634
1400 7 8.10067314017983
1500 7.5 8.27627722882961
1600 8 8.44280395028291
1700 8.5 8.62443642766624
1800 9 8.71323869061614
1900 9.5 8.74949002144878
2000 10 8.80038272582918
2100 10.5 8.69881759213649
2200 11 8.49902039337423
2300 11.5 8.31320581082387
2400 12 8.29666049424881
2500 12.5 8.38781762152625
2600 13 8.6454249397133
2700 13.5 8.77721084015029
2800 14 8.77400658850895
2900 14.5 8.70521629608698
3000 15 8.67916887154799
3100 15.5 8.70594332967714
3200 16 8.7962357633789
3300 16.5 8.795222092703
3400 17 8.73885703539507
3500 17.5 8.75600126311376
3600 18 8.86826016343824
3700 18.5 8.92427800550962
3800 19 8.96831844587478
3900 19.5 9.0398543800577
4000 20 8.93409828170954
4100 20.5 8.78208864486029
4200 21 8.59262131732317
4300 21.5 8.50552051214144
4400 22 8.5833888176331
4500 22.5 8.60706531080153
4600 23 8.53695489665681
4700 23.5 8.45976792078993
4800 24 8.27827478337516
4900 24.5 8.08380879191682
5000 25 8.09462105852279
5100 25.5 8.25317708029567
5200 26 8.30712018042151
5300 26.5 8.23425130266744
5400 27 8.17484636309141
5500 27.5 8.05998181166066
5600 28 7.92847572943433
5700 28.5 7.82106646523264
5800 29 7.71992823949165
5900 29.5 7.64014899313903
6000 30 7.57148712134373
6100 30.5 7.59233164791829
6200 31 7.65011774292676
6300 31.5 7.61944917482606
6400 32 7.57749135729663
6500 32.5 7.58945482756915
6600 33 7.68151543571181
6700 33.5 7.66818159044646
6800 34 7.65451050416971
6900 34.5 7.77268508949631
7000 35 7.95260473871281
7100 35.5 8.0928285170344
7200 36 8.14015597128532
7300 36.5 8.10621945560297
7400 37 8.09003465231084
7500 37.5 8.21775994883888
7600 38 8.3086926961283
7700 38.5 8.18774606773599
7800 39 8.06669167588173
7900 39.5 7.98925389242329
8000 40 7.99266987340308
8100 40.5 8.02106306479186
8200 41 8.04250176519565
8300 41.5 7.9716323607765
8400 42 7.95134902648049
8500 42.5 7.87547044707429
8600 43 7.72664996569425
8700 43.5 7.66991446810994
8800 44 7.67606526550311
8900 44.5 7.79714492393137
9000 45 7.90732639389175
9100 45.5 7.89668454822188
9200 46 7.81541278327526
9300 46.5 7.68742109686228
9400 47 7.82279028459695
9500 47.5 7.95283465728209
9600 48 7.97811074757183
9700 48.5 7.99492756293949
9800 49 8.06534438625728
9900 49.5 8.07406063447912
10000 50 8.18600826132314
10100 50.5 8.21038898734935
10200 51 8.12039488925442
10300 51.5 8.05788289901424
10400 52 7.92489311119666
10500 52.5 7.81056494926607
10600 53 7.6906575637144
10700 53.5 7.723057391114
10800 54 7.68645181714186
10900 54.5 7.77722924667439
11000 55 7.89086757769306
11100 55.5 7.88556301764839
11200 56 7.71593373352915
11300 56.5 7.73187542885423
11400 57 7.87533747291304
11500 57.5 7.89185098915655
11600 58 7.77300209549122
11700 58.5 7.80880996941971
11800 59 7.77978136189861
11900 59.5 7.74051816299395
12000 60 7.73457032016495
12100 60.5 7.71089195302514
12200 61 7.59769795643475
12300 61.5 7.45796120754409
12400 62 7.43872254707491
12500 62.5 7.44943689976922
12600 63 7.43598155069133
12700 63.5 7.30739080955093
12800 64 7.19340641272484
12900 64.5 7.15827339551055
13000 65 7.26056744298694
13100 65.5 7.25560587317617
13200 66 7.38822200917686
13300 66.5 7.57864915930771
13400 67 7.75976947194005
13500 67.5 7.85039141932902
13600 68 7.89630774212437
13700 68.5 8.09088213588698
13800 69 8.25452914672863
13900 69.5 8.09821317162794
14000 70 7.86987083808828
14100 70.5 7.76134837318298
14200 71 7.81945902728368
14300 71.5 7.93153831331838
14400 72 7.96639599268315
14500 72.5 8.05479973832019
14600 73 8.13258536392958
14700 73.5 8.16259880819148
14800 74 8.23269533235205
14900 74.5 8.27132905609068
15000 75 8.27091207860079
15100 75.5 8.26166671737152
15200 76 8.26654519840921
15300 76.5 8.32173341668871
15400 77 8.5085816406422
15500 77.5 8.67574518321816
15600 78 8.71025872688619
15700 78.5 8.77464920613503
15800 79 8.87426743808091
15900 79.5 8.96565949737382
16000 80 8.94406452034429
16100 80.5 8.77799440456308
16200 81 8.67165883808575
16300 81.5 8.54502207861645
16400 82 8.33468879609719
16500 82.5 8.18594602174081
16600 83 8.08121463547296
16700 83.5 8.02761431472814
16800 84 7.92993599806874
16900 84.5 7.87532987194275
17000 85 7.90938462464732
17100 85.5 7.8124731387471
17200 86 7.66399796685063
17300 86.5 7.63014670911543
17400 87 7.6380449340302
17500 87.5 7.83089392843176
17600 88 7.96673548943847
17700 88.5 8.12443639648506
17800 89 8.15275552926735
17900 89.5 8.04125010132509
18000 90 7.94938654414862
18100 90.5 7.82579931730796
18200 91 7.76883434745433
18300 91.5 7.84884333055817
18400 92 8.03010813900726
18500 92.5 8.15327274976942
18600 93 8.18419616251431
18700 93.5 8.25021465462112
18800 94 8.33398933530257
18900 94.5 8.41667735285125
19000 95 8.41537470436806
19100 95.5 8.26617767929978
19200 96 8.12228180999269
19300 96.5 8.00041577948499
19400 97 7.98930728168672
19500 97.5 7.96550265359556
19600 98 7.93955888609052
19700 98.5 7.95973266892646
19800 99 8.0177001957576
